ensg,symbol,HVG_rank,HVG_normrank,HVG_normscore,DE_Immune_rank,DE_Immune_normrank,DE_Immune_normscore,DE_Malignant_rank,DE_Malignant_normrank,DE_Malignant_normscore,SpaPROS_rank,SpaPROS_normrank,SpaPROS_normscore,scGeneFit_rank,scGeneFit_normrank,scGeneFit_normscore,RF_celltype_rank,RF_celltype_normrank,RF_celltype_normscore,RF_malignant_rank,RF_malignant_normrank,RF_malignant_normscore,n_methods,mean_normrank,mean_normscore,aggregate_score
ENSG00000197885,ENSG00000197885,,,,,,,6804.0,0.4140900869864783,0.0694763872159254,,,,,,,,,,,,,1,0.4140900869864783,0.0694763872159254,2.4835664742024037
ENSG00000231527,ENSG00000231527,,,,,,,6805.0,0.41400396176039966,0.06943491497705041,,,,,,,,,,,,,1,0.41400396176039966,0.06943491497705041,2.48343887673745
ENSG00000114026,ENSG00000114026,,,,,,,6806.0,0.4139178365343209,0.06943357760161664,,,,,,,,,,,,,1,0.4139178365343209,0.06943357760161664,2.483351414135938
ENSG00000145050,ENSG00000145050,,,,,,,6807.0,0.41383171130824215,0.06941695334495347,,,,,,,,,,,,,1,0.41383171130824215,0.06941695334495347,2.4832486646531957
ENSG00000170153,ENSG00000170153,,,,,,,6810.0,0.413573335630006,0.06934765463010399,,,,,,,,,,,,,1,0.413573335630006,0.06934765463010399,2.48292099026011
ENSG00000171443,ENSG00000171443,,,,,,,6811.0,0.41348721040392733,0.06933848794153762,,,,,,,,,,,,,1,0.41348721040392733,0.06933848794153762,2.4828256983454646
ENSG00000134452,ENSG00000134452,,,,,,,6813.0,0.4133149599517699,0.06927573556609953,,,,,,,,,,,,,1,0.4133149599517699,0.06927573556609953,2.482590695517869
ENSG00000126461,ENSG00000126461,,,,,,,6815.0,0.4131427094996124,0.06926733956846108,,,,,,,,,,,,,1,0.4131427094996124,0.06926733956846108,2.4824100490680734
ENSG00000198930,ENSG00000198930,,,,,,,6818.0,0.41288433382137624,0.06924638584217337,,,,,,,,,,,,,1,0.41288433382137624,0.06924638584217337,2.48213071966355
ENSG00000113575,ENSG00000113575,,,,,,,6819.0,0.4127982085952976,0.06924492606288633,,,,,,,,,,,,,1,0.4127982085952976,0.06924492606288633,2.4820431346581837
ENSG00000010017,ENSG00000010017,,,,,,,6821.0,0.41262595814314007,0.06923748209521768,,,,,,,,,,,,,1,0.41262595814314007,0.06923748209521768,2.481863440238358
ENSG00000112640,ENSG00000112640,,,,,,,6822.0,0.4125398329170614,0.06923064561333929,,,,,,,,,,,,,1,0.4125398329170614,0.06923064561333929,2.4817704785304007
