gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000178035,111.0,45.449654,24.94482,1,106.4550347328186,ENSG00000178035
ENSG00000059804,111.0,40.34644,3.0211954,1,106.96535587310792,ENSG00000059804
ENSG00000104763,112.0,45.439236,46.32177,1,107.45607662200928,ENSG00000104763
ENSG00000139725,112.0,40.345016,5.958587,1,107.9654984474182,ENSG00000139725
ENSG00000044115,113.0,45.40014,13.056481,1,108.45998620986938,ENSG00000044115
ENSG00000154451,113.0,40.098866,11.470795,1,108.99011325836182,ENSG00000154451
ENSG00000127922,114.0,45.293964,9.424621,1,109.47060346603394,ENSG00000127922
ENSG00000107099,114.0,39.787266,8.324266,1,110.0212733745575,ENSG00000107099
ENSG00000143612,115.0,45.21575,21.300097,1,110.47842502593994,ENSG00000143612
ENSG00000132274,115.0,39.533012,6.5633636,1,111.04669880867004,ENSG00000132274
ENSG00000143252,116.0,45.081436,15.804028,1,111.4918565750122,ENSG00000143252
ENSG00000186810,116.0,39.50785,12.580996,1,112.0492148399353,CXCR3
ENSG00000166145,117.0,45.058533,6.6904483,1,112.49414682388306,ENSG00000166145
ENSG00000172349,117.0,39.108715,4.775965,1,113.0891284942627,ENSG00000172349
ENSG00000204628,118.0,44.998,94.3468,1,113.50019979476927,RACK1
ENSG00000153563,118.0,39.03395,23.344793,1,114.09660482406616,CD8A
ENSG00000096092,119.0,44.933548,7.267979,1,114.50664520263672,ENSG00000096092
ENSG00000027075,119.0,38.532745,6.971157,1,115.14672541618349,ENSG00000027075
ENSG00000203950,120.0,44.811543,7.114339,1,115.5188455581665,ENSG00000203950
ENSG00000082074,120.0,38.093616,6.985693,1,116.19063830375671,FYB1
ENSG00000123131,121.0,44.78388,15.130498,1,116.5216121673584,ENSG00000123131
ENSG00000188042,121.0,37.82869,5.191575,1,117.2171311378479,ENSG00000188042
ENSG00000178719,122.0,44.74915,6.2053733,1,117.5250849723816,ENSG00000178719
ENSG00000118971,122.0,37.66558,6.23533,1,118.2334418296814,ENSG00000118971
ENSG00000179091,123.0,44.737644,17.607237,1,118.52623558044434,ENSG00000179091
ENSG00000110448,123.0,37.59864,11.263857,1,119.24013590812685,ENSG00000110448
ENSG00000154380,124.0,44.517426,6.663867,1,119.54825735092165,ENSG00000154380
ENSG00000134242,124.0,37.036728,10.155117,1,120.29632711410522,ENSG00000134242
